,depth,avg,med,lower95,upper95,lower68,upper68
0,1.0,7.351709015768959e-05,7.17221004824028e-05,6.974996113360864e-05,7.728421918177054e-05,7.160570240535562e-05,7.542847791002356e-05
1,40.0,7.383919874099357e-05,7.174869395595871e-05,7.002729041938429e-05,7.765110706260286e-05,7.190509060921236e-05,7.577330687277478e-05
2,80.0,7.462148479225407e-05,7.194423516642466e-05,7.070464670094344e-05,7.85383228835647e-05,7.26341367859211e-05,7.660883279858705e-05
3,120.0,7.695484622430034e-05,7.318380740295424e-05,7.277398392418357e-05,8.113570852441712e-05,7.483353608505241e-05,7.907615636354828e-05
4,160.0,8.439677069317693e-05,7.965921090072126e-05,7.953992981105996e-05,8.92536115752939e-05,8.193247862413155e-05,8.68610627622223e-05
5,200.0,0.00010985028103911964,0.00010261432672767708,0.00010300515142089403,0.00011669541065734525,0.00010637715951028988,0.0001133234025679494
6,240.0,0.000249932381928532,0.00024358918367889938,0.00023304427512477462,0.00026682048873228936,0.0002413635964426977,0.00025850116741436634
7,280.0,0.001492781665051481,0.0014670266388301597,0.001388731106993006,0.001596832223109956,0.0014399878899975446,0.0015455754401054174
8,320.0,0.027761605078241162,0.026529007346434725,0.02706080237851613,0.028462407777966194,0.02740602774375265,0.028117182412729674
9,360.0,0.15275093723861338,0.14164762593949565,0.13747557187086812,0.16802630260635865,0.1450004338473848,0.16050144062984195
10,400.0,0.10180193787506771,0.08019697736971844,0.08833583107346954,0.11526804467666588,0.09496942657862348,0.10863444917151194
11,440.0,0.10113530992892009,0.07930507861930136,0.08756496678528328,0.1147056530725569,0.09424991059326956,0.10802070926457061
12,480.0,0.07670628747502126,0.06609886466951145,0.06541465152741693,0.08799792342262558,0.07097707180013993,0.08243550314990258
13,520.0,0.03595755305787861,0.021209869675842662,0.020769982468816305,0.05114512364694091,0.028251595490172626,0.043663510625584594
14,560.0,0.009534522065256004,0.0026084889420869006,0.000564570147061157,0.01850447398345085,0.004983295885885861,0.014085748244626148
15,600.0,0.0007724547188163011,0.00056791324824978,0.0005361582013542126,0.0010087512362783894,0.0006525612225996706,0.0008923482150329316
