,depth,avg,med,lower95,upper95,lower68,upper68
0,1.0,3.493472457248835e-05,3.704315765689206e-05,3.2232768684410285e-05,3.763668046056641e-05,3.356379053789444e-05,3.6305658607082254e-05
1,40.0,3.49444860441711e-05,3.705322383701499e-05,3.2242097670495614e-05,3.764687441784659e-05,3.35733325725288e-05,3.63156395158134e-05
2,80.0,3.499570292930732e-05,3.7106756983112085e-05,3.2291230494695446e-05,3.770017536391919e-05,3.362349203475132e-05,3.636791382386331e-05
3,120.0,3.52846445136582e-05,3.7412695563789e-05,3.2569296850768135e-05,3.799999217654826e-05,3.3906915682763436e-05,3.666237334455296e-05
4,160.0,3.661383835259482e-05,3.8933280615664394e-05,3.384628547719533e-05,3.938139122799431e-05,3.520962133848132e-05,3.801805536670832e-05
5,200.0,4.180604075510779e-05,4.6387823921283e-05,3.8798961824526e-05,4.481311968568958e-05,4.0280291623216075e-05,4.3331789886999506e-05
6,240.0,6.675099548160109e-05,6.871855204712352e-05,6.244632523213162e-05,7.105566573107056e-05,6.456686694762296e-05,6.893512401557922e-05
7,280.0,0.00019444133496661863,0.00017835529205497368,0.00018415883815311204,0.00020472383178012522,0.00018922414215290963,0.00019965852778032763
8,320.0,0.0016550199069515744,0.0008387682834105062,0.0012307629680686047,0.002079276845834544,0.0014397579630043664,0.0018702818508987825
9,360.0,0.004837163900469871,0.004658005532200293,0.004721273677320969,0.0049530541236187725,0.0047783628475390905,0.004895964953400651
10,400.0,0.008030862471337474,0.007803833592387838,0.007168062822058885,0.008893662120616064,0.007593090185916089,0.00846863475675886
11,440.0,0.006615663110186727,0.005119847202281379,0.005394856771567863,0.00783646944880559,0.005996243316308798,0.007235082904064656
12,480.0,0.006515117527287092,0.004957765717002931,0.0052583330846525805,0.007771901969921604,0.005877442954523674,0.007152792100050511
13,520.0,0.0062825639264074305,0.00463036258289915,0.005007544145250524,0.007557583707564337,0.0056356370019224325,0.0069294908508924285
14,560.0,0.0044534365684571016,0.002746938902900434,0.0028767913490895932,0.00603008178782461,0.00365346918140691,0.005253403955507293
15,600.0,0.0011954884998362037,0.0007356851673097474,0.0009634279153579462,0.001427549084314461,0.0010777442558414234,0.001313232743830984
