,depth,avg,med,lower95,upper95,lower68,upper68
0,1.0,0.00022305591704528633,0.00020988795187302188,0.00021558517088030352,0.00023052666321026914,0.00021926536656791638,0.00022684646752265628
1,80.0,0.00022708537552125062,0.00021076428077844775,0.00021860873378725716,0.0002355620172552441,0.0002227844479215566,0.00023138630312094467
2,160.0,0.00024334267069502934,0.00022403867734995076,0.00023334688503457205,0.00025333845635548664,0.00023827095104746168,0.000248414390342597
3,240.0,0.0004031780884372512,0.0004052915415040374,0.00039834398438891896,0.00040801219248558343,0.0004007253327146769,0.0004056308441598255
4,320.0,0.0016435139310250152,0.0017789510581324233,0.0015475169134207636,0.0017395109486292668,0.0015948064079918426,0.0016922214540581878
5,400.0,0.0020676831230688024,0.002214776979164642,0.0019891346558450645,0.0021462315902925403,0.0020278287466308498,0.002107537499506755
6,480.0,0.001056893063833007,0.0008299119159945953,0.000976191245450099,0.001137594882215915,0.001015946107606626,0.0010978400200593878
7,560.0,0.0008051825644537386,0.0007182539168308832,0.0007346170900738051,0.0008757480388336721,0.0007693786451811971,0.0008409864837262801
8,640.0,0.00032624908110489393,0.00015440559905894382,0.00025968538677870374,0.0003928127754310841,0.00029247560818376875,0.00036002255402601917
9,720.0,0.00036272138508035604,0.00013925000226130168,0.0002668906968992564,0.0004585520732614557,0.00031409825523367454,0.00041134451492703754
10,800.0,0.00035605297086645655,0.00013919736056274896,0.00025119586949848884,0.00046091007223442426,0.00030284996719474866,0.00040925597453816444
11,880.0,0.0010833633373396195,0.0006213002518485836,0.0007255403663980345,0.0014411863082812045,0.000901809044988733,0.0012649176296905063
12,960.0,0.003652381981830031,0.002903034244699103,0.0028539809064447295,0.004450783057215333,0.0032472846179790417,0.00405747934568102
13,1040.0,0.004353634111040268,0.003514528167659345,0.0035295148785946012,0.005177753343485934,0.00393548771963977,0.004771780502440765
14,1120.0,0.004412114315414577,0.0035926886844347425,0.0035897020033013025,0.005234526627527852,0.003994833991142837,0.004829394639686318
15,1200.0,0.004428290591022639,0.0036002370437496897,0.0036064153184006535,0.005250165863644626,0.004011282752959789,0.004845298429085491
16,1400.0,0.004439221286356455,0.0036024345810890877,0.0036175900772485413,0.005260852495464369,0.0040223372826535654,0.004856105290059345
17,1600.0,0.004444698822851618,0.0036020323262011293,0.0036230401540506326,0.005266357491652603,0.0040278008864905466,0.004861596759212689
