year,month,day,hour,min,sec,BX,BY,BZ
1972,5,27,0,0,0.17309,9.05,0.98,-4.46
1972,5,27,0,0,0.47497,9.28,1.31,-4.46
1972,5,27,0,0,0.77684,9.05,0.98,-4.46
1972,5,27,0,0,1.07871,9.28,1.31,-4.46
1972,5,27,0,0,1.38058,9.5,1.15,-4.75
1972,5,27,0,0,1.68245,9.28,1.31,-4.46
1972,5,27,0,0,1.98432,9.05,0.98,-4.46
1972,5,27,0,0,2.28619,9.28,1.31,-4.46
1972,5,27,0,0,2.58806,9.05,0.98,-4.46
1972,5,27,0,0,2.88994,9.28,1.31,-4.46
1972,5,27,0,0,3.19181,9.28,1.31,-4.46
1972,5,27,0,0,3.49368,9.28,1.31,-4.46
1972,5,27,0,0,3.79555,9.28,1.31,-4.46
1972,5,27,0,0,4.09742,9.28,1.31,-4.46
1972,5,27,0,0,4.39929,9.05,1.49,-4.74
1972,5,27,0,0,4.70116,9.5,1.15,-4.75
1972,5,27,0,0,5.00304,9.27,1.32,-5.03
1972,5,27,0,0,5.30491,9.5,1.15,-4.75
1972,5,27,0,0,5.60678,9.27,1.32,-5.03
1972,5,27,0,0,5.90865,9.28,1.31,-4.46
1972,5,27,0,0,6.21052,9.05,1.49,-4.74
1972,5,27,0,0,6.51239,9.05,1.49,-4.74
1972,5,27,0,0,6.81426,9.05,1.49,-4.74
1972,5,27,0,0,7.11614,9.05,1.49,-4.74
1972,5,27,0,0,7.41801,9.05,1.49,-4.74
1972,5,27,0,0,7.71988,9.05,1.49,-4.74
1972,5,27,0,0,8.02175,9.05,1.49,-4.74
1972,5,27,0,0,8.32362,9.05,1.49,-4.74
1972,5,27,0,0,8.62549,9.05,1.49,-4.74
1972,5,27,0,0,8.92736,9.05,1.49,-4.74
1972,5,27,0,0,9.22924,9.05,1.49,-4.74
1972,5,27,0,0,9.53111,9.05,1.49,-4.74
1972,5,27,0,0,9.83298,9.05,1.49,-4.74
1972,5,27,0,0,10.13485,9.05,1.49,-4.74
1972,5,27,0,0,10.43672,9.05,1.49,-4.74
1972,5,27,0,0,10.73859,9.05,1.49,-4.74
1972,5,27,0,0,11.04046,9.05,1.49,-4.74
1972,5,27,0,0,11.34234,8.83,1.65,-4.45
1972,5,27,0,0,11.64421,8.83,1.65,-4.45
1972,5,27,0,0,11.94608,8.83,1.65,-4.45
1972,5,27,0,0,12.24795,8.83,1.65,-4.45
1972,5,27,0,0,12.54982,8.83,1.65,-4.45
1972,5,27,0,0,12.85169,8.83,1.65,-4.45
1972,5,27,0,0,13.15356,8.83,1.65,-4.45
1972,5,27,0,0,13.45544,8.83,1.65,-4.45
1972,5,27,0,0,13.75731,8.83,1.65,-4.45
1972,5,27,0,0,14.05918,8.83,1.65,-4.45
1972,5,27,0,0,14.36105,8.83,1.65,-4.45
1972,5,27,0,0,14.66292,8.61,1.82,-4.16
1972,5,27,0,0,14.96479,8.84,2.15,-4.16
1972,5,27,0,0,15.26666,9.06,1.98,-4.45
1972,5,27,0,0,15.56854,8.83,1.65,-4.45
1972,5,27,0,0,15.87041,8.83,1.65,-4.45
1972,5,27,0,0,16.17228,8.83,1.65,-4.45
1972,5,27,0,0,16.47415,8.83,1.65,-4.45
1972,5,27,0,0,16.77602,9.06,1.98,-4.45
1972,5,27,0,0,17.07789,8.84,2.15,-4.16
1972,5,27,0,0,17.37976,9.06,1.98,-4.45
1972,5,27,0,0,17.68164,8.84,2.15,-4.16
1972,5,27,0,0,17.98351,9.07,1.98,-3.88
1972,5,27,0,0,18.28538,8.84,2.15,-4.16
1972,5,27,0,0,18.58725,8.84,2.15,-4.16
1972,5,27,0,0,18.88912,8.84,2.15,-4.16
1972,5,27,0,0,19.19099,8.84,2.15,-4.16
1972,5,27,0,0,19.49286,9.07,1.98,-3.88
1972,5,27,0,0,19.79473,8.84,2.15,-4.16
1972,5,27,0,0,20.09661,8.84,2.15,-4.16
1972,5,27,0,0,20.39848,9.07,1.98,-3.88
1972,5,27,0,0,20.70035,9.07,1.98,-3.88
1972,5,27,0,0,21.00222,8.84,2.15,-4.16
1972,5,27,0,0,21.30409,9.07,1.98,-3.88
1972,5,27,0,0,21.60596,9.07,1.98,-3.88
1972,5,27,0,0,21.90783,9.07,1.98,-3.88
1972,5,27,0,0,22.20971,9.07,1.98,-3.88
1972,5,27,0,0,22.51158,8.84,2.15,-4.16
1972,5,27,0,0,22.81345,8.84,2.15,-4.16
1972,5,27,0,0,23.11532,8.84,2.15,-4.16
1972,5,27,0,0,23.41719,8.84,2.15,-4.16
1972,5,27,0,0,23.71906,8.84,2.15,-4.16
1972,5,27,0,0,24.02093,8.84,2.15,-4.16
1972,5,27,0,0,24.32281,8.84,2.15,-4.16
1972,5,27,0,0,24.62468,8.84,2.15,-4.16
1972,5,27,0,0,24.92655,8.84,2.15,-4.16
1972,5,27,0,0,25.22842,8.84,2.15,-4.16
1972,5,27,0,0,25.53029,8.84,2.15,-4.16
1972,5,27,0,0,25.83216,8.84,2.15,-4.16
1972,5,27,0,0,26.13403,8.84,2.15,-4.16
1972,5,27,0,0,26.43591,8.61,1.82,-4.16
1972,5,27,0,0,26.73778,8.84,2.15,-4.16
1972,5,27,0,0,27.03965,8.84,2.15,-4.16
1972,5,27,0,0,27.34152,9.06,1.98,-4.45
1972,5,27,0,0,27.64339,9.06,1.98,-4.45
1972,5,27,0,0,27.94526,8.83,1.65,-4.45
1972,5,27,0,0,28.24713,9.06,1.98,-4.45
1972,5,27,0,0,28.54901,9.06,1.98,-4.45
1972,5,27,0,0,28.85088,9.06,1.98,-4.45
1972,5,27,0,0,29.15275,9.06,1.98,-4.45
1972,5,27,0,0,29.45462,9.06,1.98,-4.45
1972,5,27,0,0,29.75649,8.83,1.65,-4.45
1972,5,27,0,0,30.05836,9.29,1.82,-4.74
1972,5,27,0,0,30.36023,9.05,1.49,-4.74
1972,5,27,0,0,30.66211,9.06,1.48,-4.17
1972,5,27,0,0,30.96398,8.83,1.65,-4.45
1972,5,27,0,0,31.26585,8.83,1.65,-4.45
1972,5,27,0,0,31.56772,9.05,1.49,-4.74
1972,5,27,0,0,31.86959,9.05,1.49,-4.74
1972,5,27,0,0,32.17146,9.05,1.49,-4.74
1972,5,27,0,0,32.47333,9.05,1.49,-4.74
1972,5,27,0,0,32.7752,9.05,1.49,-4.74
1972,5,27,0,0,33.07708,9.05,1.49,-4.74
1972,5,27,0,0,33.37895,9.05,1.49,-4.74
1972,5,27,0,0,33.68082,8.83,1.65,-4.45
1972,5,27,0,0,33.98269,9.05,1.49,-4.74
1972,5,27,0,0,34.28456,9.05,1.49,-4.74
1972,5,27,0,0,34.58643,9.05,1.49,-4.74
1972,5,27,0,0,34.8883,9.28,1.31,-4.46
1972,5,27,0,0,35.19018,9.05,1.49,-4.74
1972,5,27,0,0,35.49205,9.05,1.49,-4.74
1972,5,27,0,0,35.79392,9.05,1.49,-4.74
1972,5,27,0,0,36.09579,9.05,1.49,-4.74
1972,5,27,0,0,36.39766,9.05,1.49,-4.74
1972,5,27,0,0,36.69953,9.05,1.49,-4.74
1972,5,27,0,0,37.0014,9.05,1.49,-4.74
1972,5,27,0,0,37.30328,9.05,1.49,-4.74
1972,5,27,0,0,37.60515,9.28,1.31,-4.46
1972,5,27,0,0,37.90702,9.28,1.31,-4.46
1972,5,27,0,0,38.20889,9.28,1.31,-4.46
1972,5,27,0,0,38.51076,9.28,1.31,-4.46
1972,5,27,0,0,38.81263,9.28,1.31,-4.46
1972,5,27,0,0,39.1145,9.28,1.31,-4.46
1972,5,27,0,0,39.41638,9.28,1.31,-4.46
1972,5,27,0,0,39.71825,9.28,1.31,-4.46
1972,5,27,0,0,40.02012,9.28,1.31,-4.46
