timestamp,Hx,Hy,Hz
1969-11-23 17:58:30,11.760000000000002,3.9000000000000004,0.7800000000000011
1969-11-23 17:59:30,11.8,4.029999999999999,0.6000000000000014
1969-11-23 18:00:30,11.84,4.08,0.5700000000000003
1969-11-23 18:01:30,11.850000000000001,4.209999999999999,0.4700000000000024
1969-11-23 18:02:30,11.89,4.209999999999999,0.490000000000002
1969-11-23 18:03:30,11.82,4.279999999999999,0.4800000000000004
1969-11-23 18:04:30,11.860000000000001,4.26,0.4400000000000013
1969-11-23 18:05:30,11.83,4.249999999999998,0.5399999999999991
1969-11-23 18:06:30,11.770000000000001,4.360000000000001,0.6000000000000014
1969-11-23 18:07:30,11.81,4.459999999999999,0.5600000000000023
1969-11-23 18:08:30,11.88,4.470000000000001,0.5800000000000018
1969-11-23 18:09:30,11.97,4.5600000000000005,0.39000000000000057
1969-11-23 18:10:30,12.07,4.389999999999999,0.26000000000000156
1969-11-23 18:11:30,12.010000000000002,4.24,0.19000000000000128
1969-11-23 18:12:30,12.0,4.35,0.010000000000001563
1969-11-23 18:13:30,11.940000000000001,4.270000000000001,0.05000000000000071
1969-11-23 18:14:30,11.780000000000001,4.0600000000000005,0.2699999999999996
1969-11-23 18:15:30,11.690000000000001,4.07,0.4400000000000013
1969-11-23 18:16:30,11.700000000000001,4.130000000000001,0.39000000000000057
1969-11-23 18:17:30,11.8,4.07,0.39000000000000057
1969-11-23 18:18:30,11.72,4.0,0.5800000000000018
1969-11-23 18:19:30,11.600000000000001,4.029999999999999,0.75
1969-11-23 18:20:30,11.620000000000001,4.02,0.7100000000000009
1969-11-23 18:21:30,11.680000000000001,4.09,0.7200000000000024
1969-11-23 18:22:30,11.620000000000001,4.049999999999999,0.8200000000000003
1969-11-23 18:23:30,11.67,3.99,0.7600000000000016
1969-11-23 18:24:30,11.65,3.9499999999999993,0.7800000000000011
1969-11-23 18:25:30,11.64,3.9800000000000004,0.9299999999999997
1969-11-23 18:26:30,11.65,4.049999999999999,0.8000000000000007
1969-11-23 18:27:30,11.64,3.9800000000000004,0.8399999999999999
1969-11-23 18:28:30,11.620000000000001,3.9299999999999997,1.0399999999999991
1969-11-23 18:29:30,11.610000000000001,4.049999999999999,0.879999999999999
1969-11-23 18:30:30,11.65,4.130000000000001,0.8599999999999994
1969-11-23 18:31:30,11.67,4.130000000000001,0.8500000000000014
1969-11-23 18:32:30,11.56,4.09,0.9200000000000017
1969-11-23 18:33:30,11.48,4.07,1.0300000000000011
1969-11-23 18:34:30,11.5,4.209999999999999,1.0100000000000016
1969-11-23 18:35:30,11.57,4.159999999999998,0.8900000000000006
1969-11-23 18:36:30,11.510000000000002,4.08,1.0399999999999991
1969-11-23 18:37:30,11.48,4.119999999999999,1.0800000000000018
1969-11-23 18:38:30,11.47,4.110000000000001,1.0700000000000003
1969-11-23 18:39:30,11.540000000000001,4.08,1.0600000000000023
1969-11-23 18:40:30,11.5,4.09,1.1000000000000014
1969-11-23 18:41:30,11.49,4.110000000000001,1.0600000000000023
1969-11-23 18:42:30,11.42,4.17,1.129999999999999
1969-11-23 18:43:30,11.4,4.15,1.2100000000000009
1969-11-23 18:44:30,11.4,4.179999999999998,1.1700000000000017
1969-11-23 18:45:30,11.48,4.1899999999999995,1.120000000000001
1969-11-23 18:46:30,11.450000000000001,4.229999999999999,1.0800000000000018
1969-11-23 18:47:30,11.5,4.17,1.1700000000000017
1969-11-23 18:48:30,11.56,4.15,1.1000000000000014
1969-11-23 18:49:30,11.600000000000001,4.1899999999999995,1.1099999999999994
1969-11-23 18:50:30,11.620000000000001,4.249999999999998,1.0700000000000003
1969-11-23 18:51:30,11.63,4.279999999999999,1.0500000000000007
1969-11-23 18:52:30,11.690000000000001,4.220000000000001,1.0800000000000018
1969-11-23 18:53:30,11.680000000000001,4.159999999999998,1.129999999999999
1969-11-23 18:54:30,11.72,4.1,1.1700000000000017
1969-11-23 18:55:30,11.73,4.1,1.1500000000000021
1969-11-23 18:56:30,11.74,4.08,1.2800000000000011
1969-11-23 18:57:30,11.71,4.039999999999999,1.3200000000000003
1969-11-23 18:58:30,11.680000000000001,3.969999999999999,1.4600000000000009
1969-11-23 18:59:30,11.71,4.049999999999999,1.4600000000000009
1969-11-23 19:00:30,11.680000000000001,4.0600000000000005,1.4400000000000013
1969-11-23 19:01:30,11.64,4.110000000000001,1.4000000000000021
1969-11-23 19:02:30,11.63,4.15,1.3500000000000014
1969-11-23 19:03:30,11.66,4.15,1.4299999999999997
1969-11-23 19:04:30,11.690000000000001,4.139999999999999,1.4700000000000024
1969-11-23 19:05:30,11.74,4.110000000000001,1.4600000000000009
1969-11-23 19:06:30,11.680000000000001,4.130000000000001,1.4800000000000004
1969-11-23 19:07:30,11.700000000000001,4.110000000000001,1.4100000000000001
1969-11-23 19:08:30,11.73,4.110000000000001,1.4700000000000024
1969-11-23 19:09:30,11.75,4.220000000000001,1.4400000000000013
1969-11-23 19:10:30,11.790000000000001,4.279999999999999,1.4200000000000017
1969-11-23 19:11:30,11.790000000000001,4.380000000000001,1.4499999999999993
1969-11-23 19:12:30,11.88,4.4,1.4400000000000013
1969-11-23 19:13:30,11.870000000000001,4.389999999999999,1.4299999999999997
1969-11-23 19:14:30,11.930000000000001,4.409999999999998,1.370000000000001
1969-11-23 19:15:30,11.950000000000001,4.429999999999998,1.3100000000000023
1969-11-23 19:16:30,11.940000000000001,4.4,1.2899999999999991
1969-11-23 19:17:30,11.950000000000001,4.380000000000001,1.2899999999999991
