Period_hr,Freq_Hz,C_real_km,C_real_err_km,C_imag_km,C_imag_err_km,Coherence,AppRes_ohm_m,AppRes_err_ohm_m,Phase_deg,Phase_err_deg
0.45,0.0006172839506172839,87.0772835449526,208.28750503994004,-114.75050216353065,0.0,0.6195338080254713,101.13362212194474,292.4679987148888,-52.807314861121874,-76.35665256959122
0.225,0.0012345679012345679,161.26015711817996,49.225451463691314,-258.72723872857176,0.0,0.9944497555169473,906.0016332288033,292.5745532773408,-58.06543541487452,-9.375517771870781
0.15,0.001851851851851852,192.06312794516043,7.740062069691545,-280.8270105177079,0.0,0.5828333967003176,1692.484431101132,77.00780889060631,-55.63100616108983,-1.265601565403517
0.1125,0.0024691358024691358,243.92669539505573,7.282224126806876,-268.2852787359934,0.0,0.7102253706654187,2563.2161655801665,102.95655637605557,-47.72268789822474,-0.958437230731645
0.09,0.0030864197530864196,376.7556196525573,24.71972568222157,-304.44901850646784,0.0,0.5838468780143793,5717.888338031139,583.5980589543071,-38.941015305482104,-1.9872634443412909
0.045,0.006172839506172839,943.8429817688589,50.757113260623534,-388.35688826085675,0.0,0.51048829926053,50769.276568031964,5049.690449823958,-22.3653750194017,-1.1122693514340738
0.04090909090909091,0.006790123456790123,1095.9292775424665,32.37463484637799,-317.88582248092547,0.0,0.5341713483255996,69809.71583681337,3961.197633926652,-16.175357813497087,-0.4589174180891956
0.03461538461538462,0.008024691358024692,1282.7156207742294,71.91431644760036,76.98694914195268,0.0,0.5771626280636155,104626.2024121474,11710.477894168382,3.4346990667454134,0.1922174683154372
